"Date","Genmab","Lundbeck","SydBank","USD"
2012-02-20,43.25,114.2,113.5,5.6
2012-02-21,42.7,114.5,112.9,5.62
2012-02-22,42.35,114.5,110.5,5.62
2012-02-23,42.29,113.6,105.9,5.59
2012-02-24,42.5,116.4,106.7,5.54
2012-02-27,42.61,116.7,104.9,5.55
2012-02-28,42.7,118.8,106,5.53
2012-02-29,43.1,118,107.2,5.53
2012-03-01,42.85,116.4,106.4,5.58
2012-03-02,41.79,117.9,106.6,5.62
2012-03-05,41.8,117.1,106,5.62
2012-03-06,39.21,114.2,101.5,5.65
2012-03-07,39.1,114.4,103.5,5.67
2012-03-08,38.9,115.9,102.5,5.61
2012-03-09,39,118,103.7,5.64
2012-03-12,38.88,117.7,102.2,5.67
2012-03-13,39.04,118.2,103.5,5.69
2012-03-14,39.25,118.2,104.7,5.69
2012-03-15,39.07,116.8,104.8,5.69
2012-03-16,39.2,117.1,105.3,5.67
2012-03-19,42,116.2,104.3,5.65
2012-03-20,41.4,115.5,103,5.63
2012-03-21,42.44,116.9,103.5,5.62
2012-03-22,41.25,114.6,102.6,5.65
2012-03-23,41.32,114.2,104.2,5.62
2012-03-26,44.9,114.9,105.5,5.6
2012-03-27,45.8,114.7,103,5.58
2012-03-28,45.99,115.4,102.8,5.58
2012-03-29,45,113.5,99.3,5.6
2012-03-30,46.2,111.8,101.5,5.57
2012-04-02,47.9,113.2,101.5,5.59
2012-04-03,46.81,115.5,101.8,5.59
2012-04-04,45.6,113.8,100.6,5.66
2012-04-10,44,110.4,98.75,5.67
2012-04-11,42.95,110.2,97,5.66
2012-04-12,43.54,111,98.7,5.66
2012-04-13,43.95,109.3,99,5.66
2012-04-16,44.05,110.4,97.5,5.71
2012-04-17,44.75,110.4,99.75,5.67
2012-04-18,45.7,112.5,97.25,5.68
2012-04-19,45.69,111.6,97.9,5.68
2012-04-20,45.45,113.2,99,5.64
2012-04-23,45.4,112.5,96.65,5.67
2012-04-24,45.34,112.4,97.5,5.65
2012-04-25,45.24,112.6,99.5,5.63
2012-04-26,45.25,111,97.85,5.63
2012-04-27,45,112.1,99.35,5.62
2012-04-30,44.8,112.5,97.7,5.63
2012-05-01,45.39,111.9,98.75,5.61
2012-05-02,45.36,109.7,101.1,5.66
2012-05-03,45,110.4,101.1,5.67
2012-05-07,44.33,109.2,98.05,5.71
2012-05-08,43.8,108.9,97.5,5.71
2012-05-09,42.55,106,93,5.74
2012-05-10,43.35,108,94.4,5.74
2012-05-11,42.83,109,94.4,5.74
2012-05-14,41.25,118.6,92.5,5.78
2012-05-15,41,115.1,92.55,5.79
2012-05-16,42.87,117.4,92.3,5.84
2012-05-21,42.09,123.9,92,5.83
2012-05-22,42.38,126.2,95.6,5.82
2012-05-23,42.41,125,94.05,5.87
2012-05-24,43.1,122.4,95.7,5.92
2012-05-25,42.63,124.2,96,5.92
2012-05-29,43,126.5,97.35,5.93
2012-05-30,42.21,127.5,95.85,5.97
2012-05-31,42,124.5,98.4,5.99
2012-06-01,41.5,123.5,95.15,6.03
2012-06-04,42.95,124.2,92.85,5.97
2012-06-06,42.69,124.5,93,5.95
2012-06-07,43.34,124.5,95.45,5.9
2012-06-08,42.98,123.8,95.75,5.96
2012-06-11,43.15,124.1,96,5.93
2012-06-12,43.2,122.7,96.2,5.95
2012-06-13,43.01,121.4,96.8,5.93
2012-06-14,44.59,122.5,95.2,5.92
2012-06-15,44.15,121.4,94.15,5.9
2012-06-18,45.6,121.2,94.5,5.89
2012-06-19,50.05,124,95.7,5.89
2012-06-20,48.8,122,98.2,5.85
2012-06-21,51.45,121.7,97.85,5.87
2012-06-22,53.3,122.2,94.4,5.93
2012-06-25,54.9,119.2,94.6,5.95
2012-06-26,54.8,117.8,93.15,5.96
2012-06-27,55.05,118.4,93.9,5.96
2012-06-28,58.9,118.2,91.95,5.99
2012-06-29,58.45,121,94.95,5.9
2012-07-02,56.5,123.8,96.35,5.9
2012-07-03,56.25,125,95.55,5.91
